수소,비금속,"[""1"", ""g/mol""]","[""101.325"", ""kPa)""]","[""14.01"", ""K""]","[""20.28"", ""K""]","[""13.8033"", ""K,""]","[""(H2)0.117"", ""kJ/mol""]","[""(H2)0.904"", ""kJ/mol""]","[""28.836"", ""J/(mol\u00B7K)""]",2.20,"[""1312.0"", ""kJ/mol""]","[""25"", ""pm""]"
헬륨,비활성,"[""4.002602(2)"", ""g/mol""]","[""101.325"", ""kPa)""]","[""(2.5"", ""MPa)""]","[""4.22"", ""K""]","[""0.0138"", ""kJ/mol""]","[""0.0829"", ""kJ/mol""]","[""(25\u00A0\u00B0C)"", ""20.786""]",,(계산),"[""pm""]","[""140"", ""pm""]"
리튬,알칼리,"[""6.941(2)"", ""g/mol""]","[""0.534"", ""g\u00B7cm\u22123""]","[""\uBC00\uB3C4"", ""(\uB179\uB294\uC810)""]","[""453.69"", ""K""]","[""1615"", ""K""]","[""3.00"", ""kJ/mol""]","[""147.1"", ""kJ/mol""]","[""24.860"", ""J/(mol\u00B7K)""]",0.98,"[""520.2"", ""kJ/mol""]","[""145"", ""pm""]"
베릴륨,알칼리,"[""9.012182(3)"", ""g/mol""]","[""1.85"", ""g\u00B7cm\u22123""]","[""\uBC00\uB3C4"", ""(\uB179\uB294\uC810)""]","[""1560"", ""K""]","[""2742"", ""K""]","[""7.895"", ""kJ/mol""]","[""297"", ""kJ/mol""]","[""16.443"", ""J/(mol\u00B7K)""]",1.57,"[""899.5"", ""kJ/mol""]","[""105"", ""pm""]"
붕소,준금속,"[""10.811(7)"", ""g/mol""]","[""2.34"", ""g\u00B7cm\u22123""]","[""\uBC00\uB3C4"", ""(\uB179\uB294\uC810)""]","[""2349"", ""K""]","[""4200"", ""K""]","[""50.2"", ""kJ/mol""]","[""480"", ""kJ/mol""]","[""11.087"", ""J/(mol\u00B7K)""]",2.04,"[""800.6"", ""kJ/mol""]","[""85"", ""pm""]"
탄소,비금속,"[""12.0107(8)"", ""g/mol""]","[""(\uD751\uC5F0)"", ""2.267""]","[""(\uB2E4\uC774\uC544\uBAAC\uB4DC)"", ""3823.15""]","[""(\uC2B9\uD654)"", ""(\uD751\uC5F0)""]","[""50.2"", ""kJ/mol""]","[""(\uD751\uC5F0)"", ""100""]","[""(25\u00A0\u00B0C)"", ""(\uD751\uC5F0)""]",,1차:,"[""pm""]","[""(\uACC4\uC0B0)"", ""67""]"
질소,비금속,"[""14.0067(2)"", ""g/mol""]","[""101.325"", ""kPa)""]","[""63.15"", ""K""]","[""77.36"", ""K""]","[""(N2)"", ""0.720""]","[""(N2)"", ""5.57""]","[""(25\u00A0\u00B0C)"", ""(N2)""]",,1차:,"[""pm""]","[""(\uACC4\uC0B0)"", ""56""]"
산소,비금속,"[""15.9994(3)"", ""g/mol""]","[""101.325"", ""kPa)""]","[""54.36"", ""K""]","[""90.20"", ""K""]","[""(O2)"", ""0.444""]","[""(O2)"", ""6.82""]","[""(25\u00A0\u00B0C)"", ""(O2)""]",,1차:,"[""pm""]","[""(\uACC4\uC0B0)"", ""48""]"
플루오르,할로젠,"[""18.9984032(5)"", ""g/mol""]","[""101.325"", ""kPa)""]","[""53.53"", ""K""]","[""85.03"", ""K""]","[""(F2)"", ""0.510""]","[""(F2)"", ""6.62""]","[""(25\u00A0\u00B0C)"", ""(F2)""]",,1차:,"[""pm""]","[""(\uACC4\uC0B0)"", ""42""]"
아르곤,비활성기체,"[""39.948(1)"", ""g/mol""]","[""101.325"", ""kPa)""]","[""83.80"", ""K""]","[""87.80"", ""K""]","[""1.18"", ""kJ/mol""]","[""6.43"", ""kJ/mol""]","[""(25\u00A0\u00B0C)"", ""20.786""]",,1차:,"[""pm""]","[""(\uACC4\uC0B0)"", ""71""]"
수소,비금속,"[""1"", ""g/mol""]","[""101.325"", ""kPa)""]","[""14.01"", ""K""]","[""20.28"", ""K""]","[""13.8033"", ""K,""]","[""(H2)0.117"", ""kJ/mol""]","[""(H2)0.904"", ""kJ/mol""]","[""28.836"", ""J/(mol·K)""]",2.20,"[""1312.0"", ""kJ/mol""]","[""25"", ""pm""]"
헬륨,비활성,"[""4.002602(2)"", ""g/mol""]","[""101.325"", ""kPa)""]","[""(2.5"", ""MPa)""]","[""4.22"", ""K""]","[""0.0138"", ""kJ/mol""]","[""0.0829"", ""kJ/mol""]","[""(25 °C)"", ""20.786""]",,(계산),"[""pm""]","[""140"", ""pm""]"
